Currency,Price,Market cap,Date,Hour
Kaspa,$0.1672,"$4,100,991,697",08/23/2024,22:55
Notcoin,$0.01154,"$1,182,620,032",08/23/2024,22:55
Bitcoin,"$63,958.32","$1,262,597,664,383",08/23/2024,22:58
Jupiter,$0.8803,"$1,188,441,279",08/23/2024,22:58
Tars Protocol,$0.1372,"$17,014,715",08/23/2024,22:58
Solana,$153.50,"$71,521,891,144",08/23/2024,22:58
Ethereum,"$2,754.96","$331,374,284,336",08/23/2024,22:58
XRP,$0.6085,"$34,185,522,904",08/23/2024,22:58
Kaspa,$0.1673,"$4,102,956,464",08/23/2024,22:58
Notcoin,$0.01154,"$1,182,620,032",08/23/2024,22:58
Bitcoin,"$63,962.33","$1,262,597,664,383",08/23/2024,23:00
Jupiter,$0.8803,"$1,188,441,279",08/23/2024,23:00
Tars Protocol,$0.1372,"$17,014,715",08/23/2024,23:00
Solana,$153.50,"$71,521,891,144",08/23/2024,23:00
Ethereum,"$2,754.96","$331,374,284,336",08/23/2024,23:00
XRP,$0.6085,"$34,185,522,904",08/23/2024,23:00
Kaspa,$0.1673,"$4,102,956,464",08/23/2024,23:00
Notcoin,$0.01158,"$1,187,075,331",08/23/2024,23:00
Bitcoin,"$63,973.97","$1,262,890,011,614",08/23/2024,23:03
Jupiter,$0.8806,"$1,188,743,756",08/23/2024,23:03
Tars Protocol,$0.1372,"$17,014,715",08/23/2024,23:03
Solana,$153.50,"$71,517,639,064",08/23/2024,23:03
Ethereum,"$2,756.38","$331,438,347,201",08/23/2024,23:03
XRP,$0.6087,"$34,197,247,400",08/23/2024,23:03
Kaspa,$0.1673,"$4,102,956,464",08/23/2024,23:03
Notcoin,$0.01164,"$1,192,622,535",08/23/2024,23:03
Bitcoin,"$63,978.53","$1,262,890,011,614",08/23/2024,23:05
Jupiter,$0.8806,"$1,188,743,756",08/23/2024,23:05
Tars Protocol,$0.1371,"$17,006,824",08/23/2024,23:05
Solana,$153.50,"$71,517,639,064",08/23/2024,23:05
Ethereum,"$2,755.99","$331,541,908,438",08/23/2024,23:05
XRP,$0.6087,"$34,197,247,400",08/23/2024,23:05
Kaspa,$0.1674,"$4,104,541,368",08/23/2024,23:05
Notcoin,$0.01164,"$1,192,622,535",08/23/2024,23:05
Bitcoin,"$63,979.34","$1,263,209,830,921",08/23/2024,23:08
Jupiter,$0.8807,"$1,188,927,980",08/23/2024,23:08
Tars Protocol,$0.1371,"$17,006,824",08/23/2024,23:08
Solana,$153.50,"$71,519,352,463",08/23/2024,23:08
Ethereum,"$2,756.10","$331,541,908,438",08/23/2024,23:08
XRP,$0.6086,"$34,189,877,188",08/23/2024,23:08
Kaspa,$0.1677,"$4,111,310,601",08/23/2024,23:08
Notcoin,$0.01164,"$1,192,622,535",08/23/2024,23:08
Bitcoin,"$63,979.34","$1,263,209,830,921",08/23/2024,23:10
Jupiter,$0.8806,"$1,188,795,494",08/23/2024,23:10
Tars Protocol,$0.137,"$16,989,470",08/23/2024,23:10
Solana,$153.47,"$71,507,416,965",08/23/2024,23:10
Ethereum,"$2,756.10","$331,541,908,438",08/23/2024,23:10
XRP,$0.6086,"$34,189,877,188",08/23/2024,23:10
Kaspa,$0.1677,"$4,112,696,988",08/23/2024,23:10
Notcoin,$0.0117,"$1,198,645,321",08/23/2024,23:10
Bitcoin,"$63,988.47","$1,263,225,880,342",08/23/2024,23:13
